"ID","Bin","TaxonRelativeAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_35","Bin53",0.00351768895014932,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria",NA
"ASV_36","Bin157",0.00344031574648391,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","limnosediminicola/parvus"
"ASV_37","Bin158",0.00344722881622721,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_38","Bin17",0.00332571832112379,"Bacteria","Chloroflexi","Dehalococcoidia","S085",NA,NA,NA
"ASV_39","Bin147",0.00333901268601475,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",NA,NA
"ASV_40","Bin58",0.00322973300661102,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"ASV_41","Bin138",0.00314092664913938,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"ASV_42","Bin58",0.0030393577013724,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"ASV_43","Bin137",0.0029042869540802,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","adhaerens/fredii/meliloti/sesbaniae"
"ASV_44","Bin158",0.00294576537254001,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_45","Bin159",0.00299548629723222,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_46","Bin72",0.00292741914899048,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","albus/fulvus/luteus"
"ASV_47","Bin60",0.0030103759859101,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","afghaniensis/africanus/agglomeratus/akiyoshiensis/albidoflavus/albogriseolus/albus/althioticus/ambofaciens/arenae/atratus/atrovirens/azureus/bellus/caelestis/capillispiralis/chartreusis/coeruleofuscus/coeruleorubidus/coerulescens/collinus/cyaneus/djakartensis/erythrogriseus/euryhalinus/flavoviridis/fradiae/griseoflavus/griseoincarnatus/griseoloalbus/griseorubens/griseoruber/griseus/hawaiiensis/iakyrus/inaequalis/janthinus/labedae/lateritius/lavendulae/levis/lienomycini/longispororuber/luteogriseus/luteosporeus/malachitofuscus/marokkonensis/massasporeus/matensis/microflavus/misionensis/nanningensis/olivoverticillatus/paradoxus/phaeochromogenes/phaeoverticillatus/piloviolofuscus/pseudogriseolus/purpurascens/roseorubens/roseoviolaceus/rubrogriseus/sparsus/spectabilis/stramineus/swartbergensis/tendae/thermocarboxydus/thermoluteus/toyocaensis/tuirus/tumenensis/tunisiensis/variabilis/vinaceus/violaceochromogenes/violaceoruber/violaceus/violarus/violochromogenes/violorubens/viridodiastaticus/viridosporus/wuyuanensis/xylophagus"
"ASV_49","Bin79",0.00277453395274438,"Bacteria","Actinobacteriota","Actinobacteria","0319-7L14",NA,NA,NA
"ASV_50","Bin128",0.00276868443219236,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella",NA
"ASV_51","Bin109",0.00271896350750015,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI 0001001-H03",NA
"ASV_52","Bin152",0.00271205043775685,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"ASV_53","Bin121",0.00267482621606215,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA
"ASV_54","Bin137",0.00258655163318614,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","americanus/fredii/glycinis/meliloti/mexicanus/shofinae/sojae"
"ASV_55","Bin60",0.0027609737005556,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","africanus/albaduncus/althioticus/angustmyceticus/asenjonii/asterosporus/atrovirens/aureus/azureus/caelestis/calvus/cellulosae/chartreusis/cyaneus/djakartensis/erythrogriseus/flavomacrosporus/flavoviridis/fungicidicus/gancidicus/griseoflavus/griseoloalbus/griseus/heilongjiangensis/heliomycini/humidus/indiaensis/kagoshimanus/lomondensis/lusitanus/macrosporeus/malachiticus/malachitofuscus/nodosus/noursei/peruviensis/pilosus/pluricolorescens/pseudogriseolus/purpurascens/rubiginosus/shandongensis/speibonae/stramineus/tendae/thermocarboxydus/thermotolerans/tuirus/variabilis/venetus/vinaceus/viridis/viridochromogenes/werraensis"
