"Method","name1","name2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","m.R.A.R.2","m.R.D.R.6",0.009131633356306,0.488322229879776,0.0216900222069071,0.0484148862853205,0.43244122827169
"CbMPDiCbraya","m.R.A.R.2","m.T.A.R.1",0.00890190673099012,0.41873420629451,0.091297189677617,0.0217474538632361,0.459319243433647
"CbMPDiCbraya","m.R.A.R.2","m.T.A.R.2",0.00666207213416035,0.451814840339995,0.0380197564897772,0.00832759016770044,0.495175740868367
"CbMPDiCbraya","m.R.A.R.2","m.T.A.R.3",0.00775327360441075,0.444138142277357,0.0393981162416724,0.0161574393138831,0.492553028562677
"CbMPDiCbraya","m.R.A.R.2","m.T.A.R.4",0.00574316563289685,0.495233172524696,0.076613829542844,0.0514587640707558,0.370951068228808
"CbMPDiCbraya","m.R.A.R.2","m.T.A.R.5",0.00706409372846313,0.447526610000766,0.0725361819434873,0.0294432958113179,0.443429818515966
"CbMPDiCbraya","m.R.A.R.2","m.T.A.R.6",0.00673864767593231,0.441553717742553,0.0597289225821273,0.0144153457385711,0.477563366260816
"CbMPDiCbraya","m.R.A.R.2","m.T.B.R.1",0.00683436710314725,0.462056819051995,0.0486063251397504,0.0153725400107206,0.467129948694387
"CbMPDiCbraya","m.R.A.R.2","m.T.B.R.2",0.00606861168542767,0.494697143732292,0.0445861091967226,0.00905505781453404,0.445593077571024
"CbMPDiCbraya","m.R.A.R.2","m.T.B.R.3",0.0093039283252929,0.42258212726855,0.0608775557087066,0.0283329504556245,0.478903438241826
"CbMPDiCbraya","m.R.A.R.2","m.T.B.R.4",0.00723638869745003,0.450091890650126,0.0406424687954667,0.0129221226740179,0.489107129182939
"CbMPDiCbraya","m.R.A.R.2","m.T.B.R.5",0.00740868366643694,0.463588329887434,0.0381154759169921,0.0368711233631978,0.454016387165939
"CbMPDiCbraya","m.R.A.R.2","m.T.B.R.6",0.00888276284554713,0.434661918983077,0.0544643540853052,0.00853817290757332,0.493452791178498
"CbMPDiCbraya","m.R.A.R.2","m.T.C.R.1",0.00710238149934911,0.423060724404625,0.117486024963627,0.0251933532429742,0.427157515889425
"CbMPDiCbraya","m.R.A.R.2","m.T.C.R.2",0.0102228348265564,0.429320774944483,0.087659851443449,0.00405850371391378,0.468738035071598
"CbMPDiCbraya","m.R.A.R.2","m.T.C.R.3",0.0135347270081936,0.440826250095719,0.0551726778466958,0.0250019143885443,0.465464430660847
"CbMPDiCbraya","m.R.A.R.2","m.T.C.R.4",0.00589631671644077,0.414311968757179,0.0843862470326978,0.0117543456619956,0.483651121831687
"CbMPDiCbraya","m.R.A.R.2","m.T.C.R.5",0.0101079715138985,0.439122444291293,0.0787196569415729,0.071119534420706,0.400930392832529
"CbMPDiCbraya","m.R.A.R.2","m.T.C.R.6",0.00687265487403323,0.433704724710927,0.0615093039283253,0.00562830232023892,0.492285014166475
"CbMPDiCbraya","m.R.A.R.2","m.T.D.R.1",0.00853817290757332,0.447028868979248,0.0706217933991883,0.0279500727467647,0.445861091967226
"CbMPDiCbraya","m.R.A.R.2","m.T.D.R.2",0.0102802664828854,0.436652883069148,0.0676927789264109,0.0405467493682518,0.444827322153304
"CbMPDiCbraya","m.R.A.R.2","m.T.D.R.3",0.0093039283252929,0.402461903667968,0.0915077724174898,0.014606784593001,0.482119610996248
"CbMPDiCbraya","m.R.A.R.2","m.T.D.R.4",0.00750440309365189,0.412895321234398,0.0453901523853281,0.00317788498353626,0.531032238303086
"CbMPDiCbraya","m.R.A.R.2","m.T.D.R.5",0.00945707940883682,0.431656328968527,0.0750440309365189,0.0257485259208209,0.458094034765296
