"Method","GroupBasedOn","Group","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","residue","Remove","0.00615411504857993","0.427778935698235","0.0922771229310673","0.0388596907186968","0.434930135603421"
"CbMPDiCbraya","residue","Turnover","0.00605892739596062","0.323339176562468","0.145526709105575","0.0194118474107101","0.505663339525287"
"CbMPDiCbraya","residue","Remove_vs_Turnover","0.00642295451720066","0.372788478707509","0.125584512602585","0.0187252680498478","0.476478786122857"
